"","ligand_cl","receptor_cl","lr_id","ligand_exp","receptor_exp","int_exp","id","ligand_symbol","receptor_symbol"
"129","IM2","IM2",3,0.189473684210526,0.310526315789474,0.189473684210526,"IM2->IM2/3","Adam10","Axl"
"130","IM1","IM2",3,0.224199288256228,0.310526315789474,0.224199288256228,"IM1->IM2/3","Adam10","Axl"
"131","AM3","IM2",3,0.397683397683398,0.310526315789474,0.310526315789474,"AM3->IM2/3","Adam10","Axl"
"132","AM2","IM2",3,0.338394793926247,0.310526315789474,0.310526315789474,"AM2->IM2/3","Adam10","Axl"
"133","AM1","IM2",3,0.309360730593607,0.310526315789474,0.309360730593607,"AM1->IM2/3","Adam10","Axl"
"134","AT2","IM2",3,0.187695516162669,0.310526315789474,0.187695516162669,"AT2->IM2/3","Adam10","Axl"
"135","AT2_Retnla","IM2",3,0.264248704663212,0.310526315789474,0.264248704663212,"AT2_Retnla->IM2/3","Adam10","Axl"
"136","Fibroblasts","IM2",3,0.161904761904762,0.310526315789474,0.161904761904762,"Fibroblasts->IM2/3","Adam10","Axl"
"137","IM2","IM1",3,0.189473684210526,0.530249110320285,0.189473684210526,"IM2->IM1/3","Adam10","Axl"
"138","IM1","IM1",3,0.224199288256228,0.530249110320285,0.224199288256228,"IM1->IM1/3","Adam10","Axl"
"139","AM3","IM1",3,0.397683397683398,0.530249110320285,0.397683397683398,"AM3->IM1/3","Adam10","Axl"
"140","AM2","IM1",3,0.338394793926247,0.530249110320285,0.338394793926247,"AM2->IM1/3","Adam10","Axl"
"141","AM1","IM1",3,0.309360730593607,0.530249110320285,0.309360730593607,"AM1->IM1/3","Adam10","Axl"
"142","AT2","IM1",3,0.187695516162669,0.530249110320285,0.187695516162669,"AT2->IM1/3","Adam10","Axl"
"143","AT2_Retnla","IM1",3,0.264248704663212,0.530249110320285,0.264248704663212,"AT2_Retnla->IM1/3","Adam10","Axl"
"144","Fibroblasts","IM1",3,0.161904761904762,0.530249110320285,0.161904761904762,"Fibroblasts->IM1/3","Adam10","Axl"
"145","IM2","AM3",3,0.189473684210526,0.598455598455598,0.189473684210526,"IM2->AM3/3","Adam10","Axl"
"146","IM1","AM3",3,0.224199288256228,0.598455598455598,0.224199288256228,"IM1->AM3/3","Adam10","Axl"
"147","AM3","AM3",3,0.397683397683398,0.598455598455598,0.397683397683398,"AM3->AM3/3","Adam10","Axl"
"148","AM2","AM3",3,0.338394793926247,0.598455598455598,0.338394793926247,"AM2->AM3/3","Adam10","Axl"
"149","AM1","AM3",3,0.309360730593607,0.598455598455598,0.309360730593607,"AM1->AM3/3","Adam10","Axl"
"150","AT2","AM3",3,0.187695516162669,0.598455598455598,0.187695516162669,"AT2->AM3/3","Adam10","Axl"
"151","AT2_Retnla","AM3",3,0.264248704663212,0.598455598455598,0.264248704663212,"AT2_Retnla->AM3/3","Adam10","Axl"
"152","Fibroblasts","AM3",3,0.161904761904762,0.598455598455598,0.161904761904762,"Fibroblasts->AM3/3","Adam10","Axl"
"153","IM2","AM2",3,0.189473684210526,0.887201735357918,0.189473684210526,"IM2->AM2/3","Adam10","Axl"
"154","IM1","AM2",3,0.224199288256228,0.887201735357918,0.224199288256228,"IM1->AM2/3","Adam10","Axl"
"155","AM3","AM2",3,0.397683397683398,0.887201735357918,0.397683397683398,"AM3->AM2/3","Adam10","Axl"
"156","AM2","AM2",3,0.338394793926247,0.887201735357918,0.338394793926247,"AM2->AM2/3","Adam10","Axl"
"157","AM1","AM2",3,0.309360730593607,0.887201735357918,0.309360730593607,"AM1->AM2/3","Adam10","Axl"
"158","AT2","AM2",3,0.187695516162669,0.887201735357918,0.187695516162669,"AT2->AM2/3","Adam10","Axl"
"159","AT2_Retnla","AM2",3,0.264248704663212,0.887201735357918,0.264248704663212,"AT2_Retnla->AM2/3","Adam10","Axl"
"160","Fibroblasts","AM2",3,0.161904761904762,0.887201735357918,0.161904761904762,"Fibroblasts->AM2/3","Adam10","Axl"
"161","IM2","AM1",3,0.189473684210526,0.86986301369863,0.189473684210526,"IM2->AM1/3","Adam10","Axl"
"162","IM1","AM1",3,0.224199288256228,0.86986301369863,0.224199288256228,"IM1->AM1/3","Adam10","Axl"
"163","AM3","AM1",3,0.397683397683398,0.86986301369863,0.397683397683398,"AM3->AM1/3","Adam10","Axl"
"164","AM2","AM1",3,0.338394793926247,0.86986301369863,0.338394793926247,"AM2->AM1/3","Adam10","Axl"
"165","AM1","AM1",3,0.309360730593607,0.86986301369863,0.309360730593607,"AM1->AM1/3","Adam10","Axl"
"166","AT2","AM1",3,0.187695516162669,0.86986301369863,0.187695516162669,"AT2->AM1/3","Adam10","Axl"
"167","AT2_Retnla","AM1",3,0.264248704663212,0.86986301369863,0.264248704663212,"AT2_Retnla->AM1/3","Adam10","Axl"
"168","Fibroblasts","AM1",3,0.161904761904762,0.86986301369863,0.161904761904762,"Fibroblasts->AM1/3","Adam10","Axl"
"185","IM2","Fibroblasts",3,0.189473684210526,0.371428571428571,0.189473684210526,"IM2->Fibroblasts/3","Adam10","Axl"
"186","IM1","Fibroblasts",3,0.224199288256228,0.371428571428571,0.224199288256228,"IM1->Fibroblasts/3","Adam10","Axl"
"187","AM3","Fibroblasts",3,0.397683397683398,0.371428571428571,0.371428571428571,"AM3->Fibroblasts/3","Adam10","Axl"
